web_scraper_order,web_scraper_start_url,data2,email,data22,data,data3,website
1778389591-74,https://www.nepalstock.com.np/company,Jyoti Bikas Bank Limited,krishna.oasti@jbbl.com.np,74,JBBL,Development Banks,
1778389591-75,https://www.nepalstock.com.np/company,Corporate Development Bank Limited,info@corporatebank.com.np,75,CORBL,Development Banks,
1778389591-76,https://www.nepalstock.com.np/company,Kamana Sewa Bikas Bank Limited,pranay.tuladhar@kamanasewabank.com,76,KSBBL,Development Banks,https://www.kamanasewabank.com/
1778389591-77,https://www.nepalstock.com.np/company,Multipurpose Finance Company  Limited,mfclfin43@gmail.com,77,MPFL,Finance,
1778389591-78,https://www.nepalstock.com.np/company,Shangrila Development Bank Ltd.,info@shangrilabank.com,78,SADBL,Development Banks,www.shangrilabank.com
1778389591-79,https://www.nepalstock.com.np/company,Shine Resunga Development Bank Ltd.,info@srdb.com.np,79,SHINE,Development Banks,https://srdb.com.np/
1778389591-80,https://www.nepalstock.com.np/company,Muktinath Bikas Bank Ltd.,info@muktinathbank.com.np,80,MNBBL,Development Banks,
1778389591-81,https://www.nepalstock.com.np/company,First Micro Finance Laghubitta Bittiya Sanstha Limited,bijay@fmdb.com.np,81,FMDBL,Microfinance,www.fmdb.com.np
1778389591-82,https://www.nepalstock.com.np/company,Manjushree Finance Ltd.,info@manjushreefinance.com.np,82,MFIL,Finance,manjushreefinance.com.np
1778389591-83,https://www.nepalstock.com.np/company,Nepal Bank Limited,nbl.bodoffice@nepalbank.com.np,83,NBL,Commercial Banks,www.nepalbank.com.np
1778389591-84,https://www.nepalstock.com.np/company,Swarojgar Laghubitta Bittiya Sanstha Ltd.,info@slbbl.com.np,84,SLBBL,Microfinance,www.slbbl.com.np
1778389591-85,https://www.nepalstock.com.np/company,NLG Insurance Company Ltd.,manoj.shrestha@nlgi.com.np,85,NLG,Non Life Insurance,
1778389591-86,https://www.nepalstock.com.np/company,Sindhu Bikash Bank Ltd,info@sindhubank.com.np,86,SINDU,Development Banks,
1778389591-87,https://www.nepalstock.com.np/company,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,info@skbbl.com.np,87,SKBBL,Microfinance,http://www.skbbl.com.np
1778389591-88,https://www.nepalstock.com.np/company,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,info@gblbs.com.np,88,GBLBS,Microfinance,http://www.grameenbanknepal.com
1778389591-89,https://www.nepalstock.com.np/company,Reliance Finance Ltd.,loginnepse@reliancenepal.com.np,89,RLFL,Finance,
1778389591-90,https://www.nepalstock.com.np/company,Sanima Mai Hydropower Ltd.,sanimamai@sanimahydro.com,90,SHPC,Hydro Power,www.maihydro.com
1778389591-91,https://www.nepalstock.com.np/company,Kalika Laghubitta Bittiya Sanstha Ltd,info@kalikabank.com.np,91,KMCDB,Microfinance,www.kalikabank.com.np
1778389591-92,https://www.nepalstock.com.np/company,Mithila LaghuBitta Bittiya Sanstha Limited,mlboperationdepart@gmail.com,92,MLBBL,Microfinance,http://www.mldbank.com.np
1778389591-93,https://www.nepalstock.com.np/company,Ridi Power Company Limited,sayikanepal@gmail.com,93,RIDI,Hydro Power,
1778389591-94,https://www.nepalstock.com.np/company,Laxmi Laghubitta Bittiya Sanstha Ltd.,company.secretary@laxmilaghu.com.np,94,LLBS,Microfinance,https://laxmilaghu.com.np/
1778389591-95,https://www.nepalstock.com.np/company,Barun Hydropower Co. Ltd.,barunhydro@gmail.com,95,BARUN,Hydro Power,
1778389591-96,https://www.nepalstock.com.np/company,Vijaya laghubitta Bittiya Sanstha Ltd.,vlbs@vlbs.com.np,96,VLBS,Microfinance,https://vlbs.com.np
1778389591-97,https://www.nepalstock.com.np/company,Himalayan Laghubitta Bittiya Sanstha Limited,info@himalayanlaghubitta.com,97,HLBSL,Microfinance,www.himalayanlaghubitta.com
1778389591-98,https://www.nepalstock.com.np/company,Matribhumi Lagubitta Bittiya Sanstha Limited,bakhat2034@gmail.com,98,MATRI,Microfinance,https://matribhumimf.com.np/
1778389591-99,https://www.nepalstock.com.np/company,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,info@jucbank.com.np,99,JSLBB,Microfinance,
1778389591-100,https://www.nepalstock.com.np/company,Api Power Company Ltd.,apipowercompany@gmail.com,100,API,Hydro Power,www.apipower.com.np
1778389591-101,https://www.nepalstock.com.np/company,NMB  Microfinance Bittiya Sanstha Ltd.,surya.thapa@nmbmicrofinance.com,101,NMBMF,Microfinance,http://www.cleanvillage.com.np
1778389591-102,https://www.nepalstock.com.np/company,Global IME Laghubitta Bittiya Sanstha Ltd.,info@gilb.com.np,102,GILB,Microfinance,http://www.gilb.com.np
1778389591-103,https://www.nepalstock.com.np/company,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,pramesh.acharya@swmfi.com.np,103,SWMF,Microfinance,www.swmfi.com.np
1778389591-104,https://www.nepalstock.com.np/company,Mero Microfinance Bittiya Sanstha Ltd.,meromicrofinance@gmail.com,104,MERO,Microfinance,www.meromicrofinance.com
1778389591-105,https://www.nepalstock.com.np/company,Hydorelectricity Investment and Development Company Ltd,info@hidcl.org.np,105,HIDCL,Investment,www.hidcl.org.np
1778389591-106,https://www.nepalstock.com.np/company,Ngadi Group Power Ltd.,nyadigroup06@gmail.com,106,NGPL,Hydro Power,ngpl.com.npl
1778389591-107,https://www.nepalstock.com.np/company,Green Development Bank Ltd.,info@greenbank.com.np,107,GRDBL,Development Banks,http://greenbank.com.np/
1778389591-108,https://www.nepalstock.com.np/company,National Laghubitta Bittiya Sanstha Limited,hofficenmfbs@gmail.com,108,NMFBS,Microfinance,http://www.nationalmicrofinance.com.np
1778389591-109,https://www.nepalstock.com.np/company,RSDC Laghubitta Bittiya Sanstha Ltd.,info@rsdcmf.com,109,RSDC,Microfinance,www.rsdcmf.com
1778389591-110,https://www.nepalstock.com.np/company,Khanikhola Hydropower Co. Ltd.,khanikhola.hpc@gmail.com,110,KKHC,Hydro Power,www.kkhcl.com.np
1778389591-111,https://www.nepalstock.com.np/company,Dibyashwori Hydropower Ltd.,dibyashwarihydropower@gmail.com,111,DHPL,Hydro Power,
1778389591-112,https://www.nepalstock.com.np/company,Arun Kabeli Power Ltd.,arunkabeli@gmail.com,112,AKPL,Hydro Power,
1778389591-113,https://www.nepalstock.com.np/company,Forward Microfinance Laghubitta Bittiya Sanstha Limited,info@forwardmfbank.com.np,113,FOWAD,Microfinance,www.forwardmfbank.com.np
1778389591-114,https://www.nepalstock.com.np/company,Synergy Power Development Ltd.,email.synergy@gmail.com,114,SPDL,Hydro Power,www.synergyhydro.com
1778389591-115,https://www.nepalstock.com.np/company,United Modi Hydropower Ltd.,unitedmodi@ntc.net.np,115,UMHL,Hydro Power,www.umh.com.np
1778389591-116,https://www.nepalstock.com.np/company,Samata Gharelu Laghubitta Bittiya Sanstha Limited,samata@samata.org.np,116,SMATA,Microfinance,www.samata.org.np
1778389591-117,https://www.nepalstock.com.np/company,Chhyangdi Hydropower Ltd.,chhyangdihydropowerltd@gmail.com,117,CHL,Hydro Power,
1778389591-118,https://www.nepalstock.com.np/company,Himalayan Power Partner Ltd.,hpphydro.binaya@gmail.com,118,HPPL,Hydro Power,http://www.hpp.com.np
1778389591-119,https://www.nepalstock.com.np/company,Mahuli Laghubitta Bittiya Sanstha Limited,saroj.singh@mslbsl.com.np,119,MSLB,Microfinance,mslbsl.com.np
1778389591-120,https://www.nepalstock.com.np/company,Nepal Hydro Developers Ltd.,info@charnawathihydro.com,120,NHDL,Hydro Power,www.charnawatihydro.com
1778389591-121,https://www.nepalstock.com.np/company,Support Microfinance Bittiya Sanstha Ltd.,smicrofinance7@gmail.com,121,SMB,Microfinance,https://supportmicrofinance.com.np/
1778389591-122,https://www.nepalstock.com.np/company,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,gwagle99@gmail.com,122,USLB,Microfinance,https://unnatislbs.com.np
1778389591-123,https://www.nepalstock.com.np/company,Radhi Bidyut Company Ltd,info@radhibidyut.com.np,123,RADHI,Hydro Power,www.radhibidyut.com.np
1778389591-124,https://www.nepalstock.com.np/company,Wean Nepal Laghubitta Bittiya Sanstha Limited,nepalseva@gmail.com,124,WNLB,Microfinance,www.weannepal.com
1778389591-125,https://www.nepalstock.com.np/company,Nadep Laghubittiya bittya Sanstha Ltd.,nadeplaghubitta@gmail.com,125,NADEP,Microfinance,
1778389591-126,https://www.nepalstock.com.np/company,Panchakanya Mai Hydropower Ltd,panchakanyamai@gmail.com,126,PMHPL,Hydro Power,
1778389591-127,https://www.nepalstock.com.np/company,Kalika power Company Ltd,daraudikalikahydro@gmail.com,127,KPCL,Hydro Power,www.kalikapower.com.np
1778389591-128,https://www.nepalstock.com.np/company,Ankhu Khola Jalvidhyut Company Ltd,ankhukhola@yahoo.com,128,AKJCL,Hydro Power,www.aankhukholahydropower.com.np
1778389591-129,https://www.nepalstock.com.np/company,Joshi Hydropower Development Company Ltd,joshihydropowerdev@gmail.com,129,JOSHI,Hydro Power,https://jhdc.com.np/
1778389591-130,https://www.nepalstock.com.np/company,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,aarambhachautari@gmail.com,130,ACLBSL,Microfinance,www.aarambhachautari.com
1778389591-131,https://www.nepalstock.com.np/company,Upper Tamakoshi Hydropower Ltd,office@utkhpl.org.np,131,UPPER,Hydro Power,www.tamakhosihydro.org.np
1778389591-132,https://www.nepalstock.com.np/company,Samudayik Laghubitta Bittiya Sanstha Limited,info@slbsl.com.np,132,SLBSL,Microfinance,www.slbsl.com.np
1778389591-133,https://www.nepalstock.com.np/company,Ghalemdi Hydro Limited,relinarenergy@gmail.com,133,GHL,Hydro Power,www.ghalemdi.com
1778389591-134,https://www.nepalstock.com.np/company,Asha Laghubitta Bittiya Sanstha Ltd,info@ashamicrofinance.com.np,134,ALBSL,Microfinance,www.ashamicrofinance.com.np
1778389591-135,https://www.nepalstock.com.np/company,SHIVAM CEMENTS LTD,info@shivamcement.com,135,SHIVM,Manufacturing And Processing,www.shivamcement.com
1778389591-136,https://www.nepalstock.com.np/company,UNIVERSAL POWER COMPANY LTD,universal2067@gmail.com,136,UPCL,Hydro Power,www.universalpowercompany.com.np
1778389591-137,https://www.nepalstock.com.np/company,Mountain Hydro Nepal Limited,mountainhydronepal@gmail.com,137,MHNL,Hydro Power,www.mountainhydronepal.com.np
1778389591-138,https://www.nepalstock.com.np/company,Panchthar Power Compant Limited,ppchewa@gmail.com,138,PPCL,Hydro Power,www.ppcl.com.np
1778389591-139,https://www.nepalstock.com.np/company,Ganapati Laghubitta Bittiya Sanstha Limited,ganapati.micro@gmail.com,139,GMFBS,Microfinance,www.ganapatimicro.com.np
1778389591-140,https://www.nepalstock.com.np/company,Himalaya Urja Bikas Company Limited,himalayaurja@gmail.com,140,HURJA,Hydro Power,www.himalurja.com
1778389591-141,https://www.nepalstock.com.np/company,Gurans Laghubitta Bittiya Sanstha Limited,info@glbsl.com.np,141,GLBSL,Microfinance,www.glbsl.com.np
1778389591-142,https://www.nepalstock.com.np/company,Swabhimaan Laghubitta Bittiya Sanstha Limited,info@swabhimaanlaghubitta.com.np,142,SMFBS,Microfinance,www.swabhimaanmicrofinance.com
1778389591-143,https://www.nepalstock.com.np/company,Union Hydropower Limited,unionhppl@gmail.com,143,UNHPL,Hydro Power,www.unionhydropower.com.np
1778389591-144,https://www.nepalstock.com.np/company,Infinity Laghubitta Bittiya Sanstha Limited,ilbslfinance@gmail.com,144,ILBS,Microfinance,www.infinitymbsl.com
1778389591-145,https://www.nepalstock.com.np/company,RASUWAGADHI HYDROPOWER COMPANY LIMITED,neupane.nar@gmail.com,145,RHPL,Hydro Power,www.rghpcl.com.np
1778389591-146,https://www.nepalstock.com.np/company,SANJEN JALAVIDHYUT COMPANY LIMITED,sanjenhcl@gmail.com,146,SJCL,Hydro Power,www.sjcl.com.np
1778389591-147,https://www.nepalstock.com.np/company,Saptakoshi Development Bank Ltd,info@skdbl.com.np,147,SAPDBL,Development Banks,www.skdbl.com.np
1778389591-148,https://www.nepalstock.com.np/company,Himal Dolakha Hydropower Company Limited,hydrohimaldolakha@gmail.com,148,HDHPC,Hydro Power,www.himaldolakhahydro.com
1778389591-149,https://www.nepalstock.com.np/company,Nepal Reinsurance Company Limited,nepalre@ntc.net.np,149,NRIC,Others,www.nepalre.com.np
1778389591-150,https://www.nepalstock.com.np/company,NIC ASIA Laghubitta Bittiya Sanstha Limited,deepit.shrestha@nicasialaghubitta.com,150,NICLBSL,Microfinance,www.nicasialaghubitta.com
1778389591-151,https://www.nepalstock.com.np/company,Sampada Laghubitta Bittiya Sanstha Limited,laxman.paudel@sampadalaghubitta.com.np,151,SMPDA,Microfinance,https://www.sampadalaghubitta.com.np/
1778389591-152,https://www.nepalstock.com.np/company,NRN Infrastructure and Development Limited,nrn@nrnil.com,152,NRN,Investment,www.nrnil.com
1778389591-153,https://www.nepalstock.com.np/company,Liberty Energy Company Limited,liberty@libertyenergy.com.np,153,LEC,Hydro Power,www.libertyenergy.com.np
1778389591-154,https://www.nepalstock.com.np/company,Shiva Shree Hydropower Ltd,shivashreehydropowerltd@gmail.com,154,SSHL,Hydro Power,www.shivashreehdyro.com
1778389591-155,https://www.nepalstock.com.np/company,Sanima GIC Insurance Limited,info@sgic.com.np,155,SGIC,Non Life Insurance,www.sgic.com.np
1778389591-156,https://www.nepalstock.com.np/company,Mountain Energy Nepal Limited,rajendra.sharma@mountainenergy.com.np,156,MEN,Hydro Power,www.mountainenergy.com.np
1778389591-157,https://www.nepalstock.com.np/company,United IDI Mardi RB Hydropower Limited.,unitedidimardi7mw@gmail.com,157,UMRH,Hydro Power,www.idimardihydro.com.np
1778389591-158,https://www.nepalstock.com.np/company,Prabhu Mahalaxmi Life Insurance Limited,kishor.lamichhane@pmlil.com,158,PMLI,Life Insurance,www.pmlil.com
1778389591-159,https://www.nepalstock.com.np/company,Chandragiri Hills Limited,jhalak.sharma@chandragirihills.com,159,CGH,Hotels And Tourism,www.chandragirihills.com
1778389591-160,https://www.nepalstock.com.np/company,Nepal Infrastructure Bank Limited,iswor.gautam@nifrabank.com,160,NIFRA,Investment,https://www.nifrabank.com
1778389591-161,https://www.nepalstock.com.np/company,GreenLife Hydropower Limited,nepalgreenlife@gmail.com,161,GLH,Hydro Power,www.greenlifehydropower.com.np
1778389591-162,https://www.nepalstock.com.np/company,Mahila Lagubitta Bittiya Sanstha Limited,mlbsl.nepal@gmail.com,162,MLBSL,Microfinance,www.mlbsl.com.np
1778389591-163,https://www.nepalstock.com.np/company,Singati Hydro Energy Limited,shehydro@gmail.com,163,SHEL,Hydro Power,www.singatihydro.com
1778389591-164,https://www.nepalstock.com.np/company,Ru Ru Jalbidhyut Pariyojana Limited,contact@ruruhydro.com,164,RURU,Hydro Power,www.ruruhydro.com
1778389591-165,https://www.nepalstock.com.np/company,CEDB Holdings Limited,chf@chf.com.np,165,CHDC,Investment,www.chdc.com.np
1778389591-166,https://www.nepalstock.com.np/company,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,info@jeevanbikasmf.com,166,JBLB,Microfinance,www.jeevanbikasmf.com
1778389591-167,https://www.nepalstock.com.np/company,Sanima Reliance Life Insurance Limited,info@sanimareliancelife.com,167,SRLI,Life Insurance,www.sanimareliancelife.com
1778389591-168,https://www.nepalstock.com.np/company,Mailung Khola Jal Vidhyut Company Limited,mailung.mkjc@gmail.com,168,MKJC,Hydro Power,www.mailunhkhola.com.np
1778389591-169,https://www.nepalstock.com.np/company,Manushi Laghubitta Bittiya Sanstha Limited,info@manushilbs.com.np,169,MLBS,Microfinance,https://www.manushilbs.com
1778389591-170,https://www.nepalstock.com.np/company,Sahas Urja Limited,surja@sahasurja.com,170,SAHAS,Hydro Power,www.sahasurja.com
1778389591-171,https://www.nepalstock.com.np/company,Terhathum Power Company Limited,terathumpc@gmail.com,171,TPC,Hydro Power,http://terhathumpower.com/
1778389591-172,https://www.nepalstock.com.np/company,Samling Power Company Limited,info@spcl.com.np,172,SPC,Hydro Power,spcl.com.np
1778389591-173,https://www.nepalstock.com.np/company,Nyadi Hydropower Limited,nhl@nhl.com.np,173,NYADI,Hydro Power,www.nhl.com.np
1778389591-174,https://www.nepalstock.com.np/company,Madhya Bhotekoshi Jalavidyut Company Limited,admin@mbjcl.com.np,174,MBJC,Hydro Power,www.mbjcl.com.np
1778389591-175,https://www.nepalstock.com.np/company,Buddha Bhumi Nepal Hydropower Company Limited,lowertadi@gmail.com,175,BNHC,Hydro Power,buddhabhuminepalhydro.com.np
1778389591-176,https://www.nepalstock.com.np/company,Emerging Nepal Limited,mail@emergingnep.com,176,ENL,Investment,https://www.emergingnep.com
1778389591-177,https://www.nepalstock.com.np/company,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,nesdosmfi@gmail.com,177,NESDO,Microfinance,https://slbs.nesdonepal.org
